% Output generated by QOMET v2.1.0 beta - deltaQ (revision 92)
% time from_id from_node_x from_node_y from_node_z to_id to_node_x to_node_y to_node_z distance Pr SNR FER num_retr op_rate bandwidth loss_rate delay jitter
0.00 0 0.000000 0.000000 0.000000 1 0.000000 10.000000 0.000000 10.0000 -76.2127 23.7873 0.0000 0.0000 11000000.00 6192788.19 0.0000 1.3590 0.1600
0.00 1 0.000000 10.000000 0.000000 0 0.000000 0.000000 0.000000 10.0000 -76.2127 23.7873 0.0000 0.0000 11000000.00 6192788.19 0.0000 1.3590 0.1600
0.50 0 0.000000 0.000000 0.000000 1 0.250000 10.000000 0.000000 10.0031 -76.2203 23.7797 0.0000 0.0000 11000000.00 6192788.18 0.0000 1.3590 0.1600
0.50 1 0.250000 10.000000 0.000000 0 0.000000 0.000000 0.000000 10.0031 -76.2203 23.7797 0.0000 0.0000 11000000.00 6192788.18 0.0000 1.3590 0.1600
1.00 0 0.000000 0.000000 0.000000 1 0.500000 10.000000 0.000000 10.0125 -76.2431 23.7569 0.0000 0.0000 11000000.00 6192788.17 0.0000 1.3590 0.1600
1.00 1 0.500000 10.000000 0.000000 0 0.000000 0.000000 0.000000 10.0125 -76.2431 23.7569 0.0000 0.0000 11000000.00 6192788.17 0.0000 1.3590 0.1600
1.50 0 0.000000 0.000000 0.000000 1 0.750000 10.000000 0.000000 10.0281 -76.2809 23.7191 0.0000 0.0000 11000000.00 6192788.14 0.0000 1.3590 0.1600
1.50 1 0.750000 10.000000 0.000000 0 0.000000 0.000000 0.000000 10.0281 -76.2809 23.7191 0.0000 0.0000 11000000.00 6192788.14 0.0000 1.3590 0.1600
2.00 0 0.000000 0.000000 0.000000 1 1.000000 10.000000 0.000000 10.0499 -76.3337 23.6663 0.0000 0.0000 11000000.00 6192788.10 0.0000 1.3590 0.1600
2.00 1 1.000000 10.000000 0.000000 0 0.000000 0.000000 0.000000 10.0499 -76.3337 23.6663 0.0000 0.0000 11000000.00 6192788.10 0.0000 1.3590 0.1600
2.50 0 0.000000 0.000000 0.000000 1 1.250000 10.000000 0.000000 10.0778 -76.4013 23.5987 0.0000 0.0000 11000000.00 6192788.06 0.0000 1.3590 0.1600
2.50 1 1.250000 10.000000 0.000000 0 0.000000 0.000000 0.000000 10.0778 -76.4013 23.5987 0.0000 0.0000 11000000.00 6192788.06 0.0000 1.3590 0.1600
3.00 0 0.000000 0.000000 0.000000 1 1.500000 10.000000 0.000000 10.1119 -76.4833 23.5167 0.0000 0.0000 11000000.00 6192787.99 0.0000 1.3590 0.1600
3.00 1 1.500000 10.000000 0.000000 0 0.000000 0.000000 0.000000 10.1119 -76.4833 23.5167 0.0000 0.0000 11000000.00 6192787.99 0.0000 1.3590 0.1600
3.50 0 0.000000 0.000000 0.000000 1 1.750000 10.000000 0.000000 10.1520 -76.5795 23.4205 0.0000 0.0000 11000000.00 6192787.91 0.0000 1.3590 0.1600
3.50 1 1.750000 10.000000 0.000000 0 0.000000 0.000000 0.000000 10.1520 -76.5795 23.4205 0.0000 0.0000 11000000.00 6192787.91 0.0000 1.3590 0.1600
4.00 0 0.000000 0.000000 0.000000 1 2.000000 10.000000 0.000000 10.1980 -76.6897 23.3103 0.0000 0.0000 11000000.00 6192787.80 0.0000 1.3590 0.1600
