% Output generated by QOMET v2.1.0 - deltaQ (revision 146)
% time from_id from_node_x from_node_y from_node_z to_id to_node_x to_node_y to_node_z distance Pr SNR FER num_retr op_rate bandwidth loss_rate delay jitter
0.00 0 0.000000 0.000000 0.000000 1 0.000000 10.000000 0.000000 10.0000 -76.2045 23.7955 0.0000 0.0000 11000000.00 6117997.89 0.0000 3.3390 0.1600
0.00 0 0.000000 0.000000 0.000000 1 0.006000 10.000000 0.000000 10.0000 -76.2046 23.7954 0.0000 0.0000 11000000.00 6117997.89 0.0000 3.3390 0.1600
0.01 0 0.000000 0.000000 0.000000 1 0.012000 10.000000 0.000000 10.0000 -76.2046 23.7954 0.0000 0.0000 11000000.00 6117997.89 0.0000 3.3390 0.1600
0.01 0 0.000000 0.000000 0.000000 1 0.018000 10.000000 0.000000 10.0000 -76.2046 23.7954 0.0000 0.0000 11000000.00 6117997.89 0.0000 3.3390 0.1600
0.02 0 0.000000 0.000000 0.000000 1 0.024000 10.000000 0.000000 10.0000 -76.2046 23.7954 0.0000 0.0000 11000000.00 6117997.89 0.0000 3.3390 0.1600
0.02 0 0.000000 0.000000 0.000000 1 0.030000 10.000000 0.000000 10.0000 -76.2047 23.7953 0.0000 0.0000 11000000.00 6117997.89 0.0000 3.3390 0.1600
0.02 0 0.000000 0.000000 0.000000 1 0.036000 10.000000 0.000000 10.0001 -76.2047 23.7953 0.0000 0.0000 11000000.00 6117997.89 0.0000 3.3390 0.1600
0.03 0 0.000000 0.000000 0.000000 1 0.042000 10.000000 0.000000 10.0001 -76.2048 23.7952 0.0000 0.0000 11000000.00 6117997.89 0.0000 3.3390 0.1600
0.03 0 0.000000 0.000000 0.000000 1 0.048000 10.000000 0.000000 10.0001 -76.2048 23.7952 0.0000 0.0000 11000000.00 6117997.89 0.0000 3.3390 0.1600
0.04 0 0.000000 0.000000 0.000000 1 0.054000 10.000000 0.000000 10.0001 -76.2049 23.7951 0.0000 0.0000 11000000.00 6117997.89 0.0000 3.3390 0.1600
0.04 0 0.000000 0.000000 0.000000 1 0.060000 10.000000 0.000000 10.0002 -76.2050 23.7950 0.0000 0.0000 11000000.00 6117997.89 0.0000 3.3390 0.1600
0.04 0 0.000000 0.000000 0.000000 1 0.066000 10.000000 0.000000 10.0002 -76.2051 23.7949 0.0000 0.0000 11000000.00 6117997.89 0.0000 3.3390 0.1600
0.05 0 0.000000 0.000000 0.000000 1 0.072000 10.000000 0.000000 10.0003 -76.2052 23.7948 0.0000 0.0000 11000000.00 6117997.89 0.0000 3.3390 0.1600
0.05 0 0.000000 0.000000 0.000000 1 0.078000 10.000000 0.000000 10.0003 -76.2053 23.7947 0.0000 0.0000 11000000.00 6117997.89 0.0000 3.3390 0.1600
0.06 0 0.000000 0.000000 0.000000 1 0.084000 10.000000 0.000000 10.0004 -76.2054 23.7946 0.0000 0.0000 11000000.00 6117997.89 0.0000 3.3390 0.1600
0.06 0 0.000000 0.000000 0.000000 1 0.090000 10.000000 0.000000 10.0004 -76.2055 23.7945 0.0000 0.0000 11000000.00 6117997.89 0.0000 3.3390 0.1600
0.06 0 0.000000 0.000000 0.000000 1 0.096000 10.000000 0.000000 10.0005 -76.2057 23.7943 0.0000 0.0000 11000000.00 6117997.89 0.0000 3.3390 0.1600
0.07 0 0.000000 0.000000 0.000000 1 0.102000 10.000000 0.000000 10.0005 -76.2058 23.7942 0.0000 0.0000 11000000.00 6117997.89 0.0000 3.3390 0.1600
0.07 0 0.000000 0.000000 0.000000 1 0.108000 10.000000 0.000000 10.0006 -76.2060 23.7940 0.0000 0.0000 11000000.00 6117997.89 0.0000 3.3390 0.1600
0.08 0 0.000000 0.000000 0.000000 1 0.114000 10.000000 0.000000 10.0006 -76.2061 23.7939 0.0000 0.0000 11000000.00 6117997.89 0.0000 3.3390 0.1600
0.08 0 0.000000 0.000000 0.000000 1 0.120000 10.000000 0.000000 10.0007 -76.2063 23.7937 0.0000 0.0000 11000000.00 6117997.89 0.0000 3.3390 0.1600
0.08 0 0.000000 0.000000 0.000000 1 0.126000 10.000000 0.000000 10.0008 -76.2065 23.7935 0.0000 0.0000 11000000.00 6117997.89 0.0000 3.3390 0.1600
0.09 0 0.000000 0.000000 0.000000 1 0.132000 10.000000 0.000000 10.0009 -76.2067 23.7933 0.0000 0.0000 11000000.00 6117997.89 0.0000 3.3390 0.1600
0.09 0 0.000000 0.000000 0.000000 1 0.138000 10.000000 0.000000 10.0010 -76.2069 23.7931 0.0000 0.0000 11000000.00 6117997.89 0.0000 3.3390 0.1600
0.10 0 0.000000 0.000000 0.000000 1 0.144000 10.000000 0.000000 10.0010 -76.2071 23.7929 0.0000 0.0000 11000000.00 6117997.89 0.0000 3.3390 0.1600
0.10 0 0.000000 0.000000 0.000000 1 0.150000 10.000000 0.000000 10.0011 -76.2073 23.7927 0.0000 0.0000 11000000.00 6117997.89 0.0000 3.3390 0.1600
0.10 0 0.000000 0.000000 0.000000 1 0.156000 10.000000 0.000000 10.0012 -76.2075 23.7925 0.0000 0.0000 11000000.00 6117997.89 0.0000 3.3390 0.1600
0.11 0 0.000000 0.000000 0.000000 1 0.162000 10.000000 0.000000 10.0013 -76.2077 23.7923 0.0000 0.0000 11000000.00 6117997.89 0.0000 3.3390 0.1600
0.11 0 0.000000 0.000000 0.000000 1 0.168000 10.000000 0.000000 10.0014 -76.2080 23.7920 0.0000 0.0000 11000000.00 6117997.89 0.0000 3.3390 0.1600
0.12 0 0.000000 0.000000 0.000000 1 0.174000 10.000000 0.000000 10.0015 -76.2082 23.7918 0.0000 0.0000 11000000.00 6117997.89 0.0000 3.3390 0.1600
0.12 0 0.000000 0.000000 0.000000 1 0.180000 10.000000 0.000000 10.0016 -76.2085 23.7915 0.0000 0.0000 11000000.00 6117997.89 0.0000 3.3390 0.1600
0.12 0 0.000000 0.000000 0.000000 1 0.186000 10.000000 0.000000 10.0017 -76.2088 23.7912 0.0000 0.0000 11000000.00 6117997.89 0.0000 3.3390 0.1600
