% Output generated by QOMET v1.5.0 beta (revision N/A)
% time from_node_id from_node_x from_node_y from_node_z to_node_id to_node_x to_node_y to_node_z distance Pr SNR FER num_retr op_rate bandwidth loss_rate delay jitter
0.000000 1 0.000000 0.000000 0.000000 2 0.000000 10.000000 0.000000 10.0000 -76.2127 23.7873 0.0003 0.00 11000000.00 6116088.15 0.0000 3.3394 0.1608
0.004000 1 0.000000 0.000000 0.000000 2 0.009600 10.000000 0.000000 10.0000 -76.2127 23.7873 0.0003 0.00 11000000.00 6116088.13 0.0000 3.3394 0.1608
0.008000 1 0.000000 0.000000 0.000000 2 0.019200 10.000000 0.000000 10.0000 -76.2128 23.7872 0.0003 0.00 11000000.00 6116088.07 0.0000 3.3394 0.1608
0.012000 1 0.000000 0.000000 0.000000 2 0.028800 10.000000 0.000000 10.0000 -76.2128 23.7872 0.0003 0.00 11000000.00 6116087.96 0.0000 3.3394 0.1608
0.016000 1 0.000000 0.000000 0.000000 2 0.038400 10.000000 0.000000 10.0001 -76.2129 23.7871 0.0003 0.00 11000000.00 6116087.81 0.0000 3.3394 0.1608
0.020000 1 0.000000 0.000000 0.000000 2 0.048000 10.000000 0.000000 10.0001 -76.2130 23.7870 0.0003 0.00 11000000.00 6116087.62 0.0000 3.3394 0.1608
0.024000 1 0.000000 0.000000 0.000000 2 0.057600 10.000000 0.000000 10.0002 -76.2131 23.7869 0.0003 0.00 11000000.00 6116087.38 0.0000 3.3394 0.1608
0.028000 1 0.000000 0.000000 0.000000 2 0.067200 10.000000 0.000000 10.0002 -76.2133 23.7867 0.0003 0.00 11000000.00 6116087.10 0.0000 3.3394 0.1608
0.032000 1 0.000000 0.000000 0.000000 2 0.076800 10.000000 0.000000 10.0003 -76.2134 23.7866 0.0003 0.00 11000000.00 6116086.78 0.0000 3.3394 0.1608
0.036000 1 0.000000 0.000000 0.000000 2 0.086400 10.000000 0.000000 10.0004 -76.2136 23.7864 0.0003 0.00 11000000.00 6116086.42 0.0000 3.3394 0.1608
0.040000 1 0.000000 0.000000 0.000000 2 0.096000 10.000000 0.000000 10.0005 -76.2138 23.7862 0.0003 0.00 11000000.00 6116086.01 0.0000 3.3394 0.1608
0.044000 1 0.000000 0.000000 0.000000 2 0.105600 10.000000 0.000000 10.0006 -76.2141 23.7859 0.0003 0.00 11000000.00 6116085.56 0.0000 3.3394 0.1608
0.048000 1 0.000000 0.000000 0.000000 2 0.115200 10.000000 0.000000 10.0007 -76.2143 23.7857 0.0003 0.00 11000000.00 6116085.07 0.0000 3.3394 0.1608
0.052000 1 0.000000 0.000000 0.000000 2 0.124800 10.000000 0.000000 10.0008 -76.2146 23.7854 0.0003 0.00 11000000.00 6116084.53 0.0000 3.3394 0.1608
0.056000 1 0.000000 0.000000 0.000000 2 0.134400 10.000000 0.000000 10.0009 -76.2149 23.7851 0.0003 0.00 11000000.00 6116083.95 0.0000 3.3394 0.1608
0.060000 1 0.000000 0.000000 0.000000 2 0.144000 10.000000 0.000000 10.0010 -76.2152 23.7848 0.0003 0.00 11000000.00 6116083.33 0.0000 3.3394 0.1608
0.064000 1 0.000000 0.000000 0.000000 2 0.153600 10.000000 0.000000 10.0012 -76.2156 23.7844 0.0003 0.00 11000000.00 6116082.66 0.0000 3.3394 0.1608
0.068000 1 0.000000 0.000000 0.000000 2 0.163200 10.000000 0.000000 10.0013 -76.2160 23.7840 0.0003 0.00 11000000.00 6116081.96 0.0000 3.3394 0.1608
0.072000 1 0.000000 0.000000 0.000000 2 0.172800 10.000000 0.000000 10.0015 -76.2164 23.7836 0.0003 0.00 11000000.00 6116081.20 0.0000 3.3394 0.1608
0.076000 1 0.000000 0.000000 0.000000 2 0.182400 10.000000 0.000000 10.0017 -76.2168 23.7832 0.0003 0.00 11000000.00 6116080.41 0.0000 3.3394 0.1608
0.080000 1 0.000000 0.000000 0.000000 2 0.192000 10.000000 0.000000 10.0018 -76.2172 23.7828 0.0003 0.00 11000000.00 6116079.57 0.0000 3.3394 0.1608
0.084000 1 0.000000 0.000000 0.000000 2 0.201600 10.000000 0.000000 10.0020 -76.2177 23.7823 0.0003 0.00 11000000.00 6116078.69 0.0000 3.3394 0.1608
0.088000 1 0.000000 0.000000 0.000000 2 0.211200 10.000000 0.000000 10.0022 -76.2181 23.7819 0.0003 0.00 11000000.00 6116077.76 0.0000 3.3394 0.1608
0.092000 1 0.000000 0.000000 0.000000 2 0.220800 10.000000 0.000000 10.0024 -76.2186 23.7814 0.0003 0.00 11000000.00 6116076.80 0.0000 3.3394 0.1608
0.096000 1 0.000000 0.000000 0.000000 2 0.230400 10.000000 0.000000 10.0027 -76.2192 23.7808 0.0003 0.00 11000000.00 6116075.78 0.0000 3.3394 0.1608
0.100000 1 0.000000 0.000000 0.000000 2 0.240000 10.000000 0.000000 10.0029 -76.2197 23.7803 0.0003 0.00 11000000.00 6116074.73 0.0000 3.3394 0.1608
0.104000 1 0.000000 0.000000 0.000000 2 0.249600 10.000000 0.000000 10.0031 -76.2203 23.7797 0.0003 0.00 11000000.00 6116073.63 0.0000 3.3394 0.1608
0.108000 1 0.000000 0.000000 0.000000 2 0.259200 10.000000 0.000000 10.0034 -76.2209 23.7791 0.0003 0.00 11000000.00 6116072.49 0.0000 3.3394 0.1608
0.112000 1 0.000000 0.000000 0.000000 2 0.268800 10.000000 0.000000 10.0036 -76.2215 23.7785 0.0003 0.00 11000000.00 6116071.30 0.0000 3.3394 0.1608
0.116000 1 0.000000 0.000000 0.000000 2 0.278400 10.000000 0.000000 10.0039 -76.2221 23.7779 0.0003 0.00 11000000.00 6116070.07 0.0000 3.3394 0.1608
0.120000 1 0.000000 0.000000 0.000000 2 0.288000 10.000000 0.000000 10.0041 -76.2228 23.7772 0.0003 0.00 11000000.00 6116068.79 0.0000 3.3394 0.1608
0.124000 1 0.000000 0.000000 0.000000 2 0.297600 10.000000 0.000000 10.0044 -76.2235 23.7765 0.0003 0.00 11000000.00 6116067.48 0.0000 3.3394 0.1608
0.128000 1 0.000000 0.000000 0.000000 2 0.307200 10.000000 0.000000 10.0047 -76.2242 23.7758 0.0003 0.00 11000000.00 6116066.11 0.0000 3.3394 0.1608
0.132000 1 0.000000 0.000000 0.000000 2 0.316800 10.000000 0.000000 10.0050 -76.2249 23.7751 0.0003 0.00 11000000.00 6116064.71 0.0000 3.3394 0.1608
0.136000 1 0.000000 0.000000 0.000000 2 0.326400 10.000000 0.000000 10.0053 -76.2257 23.7743 0.0003 0.00 11000000.00 6116063.26 0.0000 3.3394 0.1608
0.140000 1 0.000000 0.000000 0.000000 2 0.336000 10.000000 0.000000 10.0056 -76.2264 23.7736 0.0003 0.00 11000000.00 6116061.76 0.0000 3.3394 0.1608
0.144000 1 0.000000 0.000000 0.000000 2 0.345600 10.000000 0.000000 10.0060 -76.2272 23.7728 0.0003 0.00 11000000.00 6116060.22 0.0000 3.3394 0.1608
0.148000 1 0.000000 0.000000 0.000000 2 0.355200 10.000000 0.000000 10.0063 -76.2281 23.7719 0.0003 0.00 11000000.00 6116058.64 0.0000 3.3394 0.1608
0.152000 1 0.000000 0.000000 0.000000 2 0.364800 10.000000 0.000000 10.0067 -76.2289 23.7711 0.0003 0.00 11000000.00 6116057.01 0.0000 3.3394 0.1608
0.156000 1 0.000000 0.000000 0.000000 2 0.374400 10.000000 0.000000 10.0070 -76.2298 23.7702 0.0003 0.00 11000000.00 6116055.33 0.0000 3.3394 0.1608
0.160000 1 0.000000 0.000000 0.000000 2 0.384000 10.000000 0.000000 10.0074 -76.2306 23.7694 0.0003 0.00 11000000.00 6116053.61 0.0000 3.3394 0.1608
0.164000 1 0.000000 0.000000 0.000000 2 0.393600 10.000000 0.000000 10.0077 -76.2315 23.7685 0.0003 0.00 11000000.00 6116051.85 0.0000 3.3394 0.1608
0.168000 1 0.000000 0.000000 0.000000 2 0.403200 10.000000 0.000000 10.0081 -76.2325 23.7675 0.0003 0.00 11000000.00 6116050.04 0.0000 3.3394 0.1608
0.172000 1 0.000000 0.000000 0.000000 2 0.412800 10.000000 0.000000 10.0085 -76.2334 23.7666 0.0003 0.00 11000000.00 6116048.19 0.0000 3.3394 0.1608
0.176000 1 0.000000 0.000000 0.000000 2 0.422400 10.000000 0.000000 10.0089 -76.2344 23.7656 0.0003 0.00 11000000.00 6116046.29 0.0000 3.3394 0.1608
0.180000 1 0.000000 0.000000 0.000000 2 0.432000 10.000000 0.000000 10.0093 -76.2354 23.7646 0.0003 0.00 11000000.00 6116044.34 0.0000 3.3394 0.1608
0.184000 1 0.000000 0.000000 0.000000 2 0.441600 10.000000 0.000000 10.0097 -76.2364 23.7636 0.0003 0.00 11000000.00 6116042.35 0.0000 3.3394 0.1608
0.188000 1 0.000000 0.000000 0.000000 2 0.451200 10.000000 0.000000 10.0102 -76.2375 23.7625 0.0003 0.00 11000000.00 6116040.32 0.0000 3.3394 0.1608
0.192000 1 0.000000 0.000000 0.000000 2 0.460800 10.000000 0.000000 10.0106 -76.2385 23.7615 0.0003 0.00 11000000.00 6116038.24 0.0000 3.3394 0.1608
0.196000 1 0.000000 0.000000 0.000000 2 0.470400 10.000000 0.000000 10.0111 -76.2396 23.7604 0.0003 0.00 11000000.00 6116036.11 0.0000 3.3394 0.1608
0.200000 1 0.000000 0.000000 0.000000 2 0.480000 10.000000 0.000000 10.0115 -76.2407 23.7593 0.0003 0.00 11000000.00 6116033.93 0.0000 3.3394 0.1608
0.204000 1 0.000000 0.000000 0.000000 2 0.489600 10.000000 0.000000 10.0120 -76.2418 23.7582 0.0003 0.00 11000000.00 6116031.71 0.0000 3.3394 0.1608
0.208000 1 0.000000 0.000000 0.000000 2 0.499200 10.000000 0.000000 10.0125 -76.2430 23.7570 0.0003 0.00 11000000.00 6116029.45 0.0000 3.3394 0.1608
0.212000 1 0.000000 0.000000 0.000000 2 0.508800 10.000000 0.000000 10.0129 -76.2442 23.7558 0.0003 0.00 11000000.00 6116027.14 0.0000 3.3394 0.1608
0.216000 1 0.000000 0.000000 0.000000 2 0.518400 10.000000 0.000000 10.0134 -76.2454 23.7546 0.0003 0.00 11000000.00 6116024.78 0.0000 3.3394 0.1608
