% Output generated by QOMET v2.1.0 - deltaQ (revision 146)
% time from_id from_node_x from_node_y from_node_z to_id to_node_x to_node_y to_node_z distance Pr SNR FER num_retr op_rate bandwidth loss_rate delay jitter
0.00 0 0.000000 0.000000 0.000000 1 0.000000 10.000000 0.000000 10.0000 -76.2045 23.7955 0.0000 0.0000 11000000.00 6117997.89 0.0000 3.3390 0.1600
0.10 0 0.000000 0.000000 0.000000 1 0.150000 10.000000 0.000000 10.0011 -76.2073 23.7927 0.0000 0.0000 11000000.00 6117997.89 0.0000 3.3390 0.1600
0.20 0 0.000000 0.000000 0.000000 1 0.300000 10.000000 0.000000 10.0045 -76.2155 23.7845 0.0000 0.0000 11000000.00 6117997.88 0.0000 3.3390 0.1600
0.30 0 0.000000 0.000000 0.000000 1 0.450000 10.000000 0.000000 10.0101 -76.2291 23.7709 0.0000 0.0000 11000000.00 6117997.87 0.0000 3.3390 0.1600
0.40 0 0.000000 0.000000 0.000000 1 0.600000 10.000000 0.000000 10.0180 -76.2482 23.7518 0.0000 0.0000 11000000.00 6117997.86 0.0000 3.3390 0.1600
0.50 0 0.000000 0.000000 0.000000 1 0.750000 10.000000 0.000000 10.0281 -76.2728 23.7272 0.0000 0.0000 11000000.00 6117997.84 0.0000 3.3390 0.1600
0.60 0 0.000000 0.000000 0.000000 1 0.900000 10.000000 0.000000 10.0404 -76.3026 23.6974 0.0000 0.0000 11000000.00 6117997.82 0.0000 3.3390 0.1600
0.70 0 0.000000 0.000000 0.000000 1 1.050000 10.000000 0.000000 10.0550 -76.3379 23.6621 0.0000 0.0000 11000000.00 6117997.80 0.0000 3.3390 0.1600
0.80 0 0.000000 0.000000 0.000000 1 1.200000 10.000000 0.000000 10.0717 -76.3784 23.6216 0.0000 0.0000 11000000.00 6117997.77 0.0000 3.3390 0.1600
0.90 0 0.000000 0.000000 0.000000 1 1.350000 10.000000 0.000000 10.0907 -76.4242 23.5758 0.0000 0.0000 11000000.00 6117997.74 0.0000 3.3390 0.1600
1.00 0 0.000000 0.000000 0.000000 1 1.500000 10.000000 0.000000 10.1119 -76.4751 23.5249 0.0000 0.0000 11000000.00 6117997.70 0.0000 3.3390 0.1600
1.10 0 0.000000 0.000000 0.000000 1 1.650000 10.000000 0.000000 10.1352 -76.5312 23.4688 0.0000 0.0000 11000000.00 6117997.65 0.0000 3.3390 0.1600
1.20 0 0.000000 0.000000 0.000000 1 1.800000 10.000000 0.000000 10.1607 -76.5923 23.4077 0.0000 0.0000 11000000.00 6117997.59 0.0000 3.3390 0.1600
