PING 127.0.0.1 (127.0.0.1) 1200(1228) bytes of data.
1208 bytes from 127.0.0.1: icmp_seq=1 ttl=64 time=0.035 ms
1208 bytes from 127.0.0.1: icmp_seq=3 ttl=64 time=4.00 ms
1208 bytes from 127.0.0.1: icmp_seq=5 ttl=64 time=4.00 ms
1208 bytes from 127.0.0.1: icmp_seq=6 ttl=64 time=3.99 ms
1208 bytes from 127.0.0.1: icmp_seq=7 ttl=64 time=4.00 ms
1208 bytes from 127.0.0.1: icmp_seq=8 ttl=64 time=3.99 ms
1208 bytes from 127.0.0.1: icmp_seq=9 ttl=64 time=4.00 ms
1208 bytes from 127.0.0.1: icmp_seq=10 ttl=64 time=3.99 ms
1208 bytes from 127.0.0.1: icmp_seq=11 ttl=64 time=4.00 ms
1208 bytes from 127.0.0.1: icmp_seq=12 ttl=64 time=3.99 ms
1208 bytes from 127.0.0.1: icmp_seq=13 ttl=64 time=4.00 ms
1208 bytes from 127.0.0.1: icmp_seq=14 ttl=64 time=3.99 ms
1208 bytes from 127.0.0.1: icmp_seq=15 ttl=64 time=8.00 ms
1208 bytes from 127.0.0.1: icmp_seq=17 ttl=64 time=8.00 ms
1208 bytes from 127.0.0.1: icmp_seq=18 ttl=64 time=8.00 ms
1208 bytes from 127.0.0.1: icmp_seq=19 ttl=64 time=8.00 ms
1208 bytes from 127.0.0.1: icmp_seq=20 ttl=64 time=8.00 ms
1208 bytes from 127.0.0.1: icmp_seq=24 ttl=64 time=8.00 ms
1208 bytes from 127.0.0.1: icmp_seq=26 ttl=64 time=15.9 ms
1208 bytes from 127.0.0.1: icmp_seq=28 ttl=64 time=7.99 ms
1208 bytes from 127.0.0.1: icmp_seq=29 ttl=64 time=8.00 ms
1208 bytes from 127.0.0.1: icmp_seq=30 ttl=64 time=7.99 ms
1208 bytes from 127.0.0.1: icmp_seq=31 ttl=64 time=4.00 ms
1208 bytes from 127.0.0.1: icmp_seq=32 ttl=64 time=7.99 ms
1208 bytes from 127.0.0.1: icmp_seq=33 ttl=64 time=8.00 ms
1208 bytes from 127.0.0.1: icmp_seq=34 ttl=64 time=7.99 ms
1208 bytes from 127.0.0.1: icmp_seq=35 ttl=64 time=8.00 ms
1208 bytes from 127.0.0.1: icmp_seq=36 ttl=64 time=7.99 ms
1208 bytes from 127.0.0.1: icmp_seq=37 ttl=64 time=4.00 ms
1208 bytes from 127.0.0.1: icmp_seq=38 ttl=64 time=8.00 ms
1208 bytes from 127.0.0.1: icmp_seq=39 ttl=64 time=8.00 ms
1208 bytes from 127.0.0.1: icmp_seq=40 ttl=64 time=8.00 ms
1208 bytes from 127.0.0.1: icmp_seq=41 ttl=64 time=8.00 ms
1208 bytes from 127.0.0.1: icmp_seq=42 ttl=64 time=8.00 ms
1208 bytes from 127.0.0.1: icmp_seq=44 ttl=64 time=7.99 ms
1208 bytes from 127.0.0.1: icmp_seq=45 ttl=64 time=8.00 ms

--- 127.0.0.1 ping statistics ---
80 packets transmitted, 36 received, 55% packet loss, time 19907ms
rtt min/avg/max/mdev = 0.035/6.556/15.999/2.691 ms
